             -1|        mu. Vel|    8206-3033-1|          52727|         222321|             -1|    08206-03033
             -1|      gam CrA A|    7422-1737-1|             -1|             -1|             -1|             -1
             -1|        psi Oph|     6211-510-1|          80343|         159892|             -1|    06211-00510
          Furud|        zet CMa|    7073-2426-1|          30122|         196698|             -1|             -1
             -1|          l Vel|    7678-4341-1|          45439|         200159|             -1|    07678-04341
             -1|         76 Leo|     263-1172-1|          55249|         118778|             -1|    00263-01172
             -1|        tet Pav|    9077-2488-1|          92294|         254374|             -1|    09077-02488
             -1|         18 Sco|    5613-1378-1|          79672|         141066|             -1|             -1
             -1|        iot Lup|    8277-3277-1|          69996|         224833|             -1|    08277-03277
             -1|         57 Cet|    5858-1059-1|           9326|         167466|             -1|    05858-01059
             -1|          7 CVn|    3458-2329-1|          60988|          28407|             -1|             -1
             -1|      chi02 Hya|    6644-1330-1|          54255|         179522|             -1|    06644-01330
             -1|        gam Mic|    7475-1129-1|         103738|         212636|             -1|    07475-01129
             -1|      omi Cap A|    6333-2130-1|         101123|         163626|             -1|    06333-02130
             -1|        ksi Tel|    8776-1343-1|          99120|         246443|             -1|    08776-01343
             -1|         15 Eri|    6439-1171-1|          15382|         168452|             -1|    06439-01171
             -1|          o Her|     381-1598-1|          80351|         121568|             -1|    00381-01598
             -1|       53 Aqr A|    6385-1461-1|             -1|         165078|             -1|             -1
             -1|        kap Col|    7080-2123-1|          29807|         196643|             -1|    07080-02123
             -1|      omi02 Cnc|    1394-2121-1|          44001|          98250|             -1|    01394-02121
             -1|         54 Cam|    3799-2318-1|          39348|          26634|             -1|    03799-02318
             -1|         72 Psc|     618-1485-1|           5081|          92230|             -1|    00618-01485
             -1|          8 Vul|    2129-2771-1|          95785|          87267|             -1|    02129-02771
             -1|          b Leo|    1436-1306-1|          53954|          81637|             -1|    01436-01306
             -1|         16 Sgr|      6272-89-1|          89440|         186544|             -1|    06272-00089
             -1|          o Tau|    1308-2240-1|          25539|          77184|             -1|    01308-02240
             -1|         DW Eri|    5321-2146-1|             -1|         131442|             -1|             -1
             -1|          c Her|    2603-1829-1|          83838|          65812|             -1|             -1
             -1|         11 Gem|     1878-387-1|          30046|          78222|             -1|    01878-00387
             -1|         31 Crt|    6097-1648-1|          58587|         157042|             -1|    06097-01648
             -1|         24 LMi|    1975-1034-1|          50316|          81259|             -1|    01975-01034
             -1|         22 Gem|    1337-1295-1|          31368|          95852|             -1|    01337-01295
             -1|         52 Psc|    1193-2069-1|           2568|          74084|             -1|    01193-02069
             -1|         23 Peg|    2216-1897-1|         109056|          90217|             -1|    02216-01897
             -1|         73 Her|    2074-1985-1|          85157|          85062|             -1|    02074-01985
             -1|         18 Aqr|    5781-1173-1|         105668|         164364|             -1|    05781-01173
