# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |        kap Col |    7080-2123   |          29807 |         196643 |                |    07080-02123
                |      omi02 Cnc |    1394-2121   |          44001 |          98250 |                |    01394-02121
                |         54 Cam |    3799-2318   |          39348 |          26634 |                |    03799-02318
                |         72 Psc |     618  485   |           5081 |          92230 |                |    00618-01485
                |          8 Vul |    2129-2771   |          95785 |          87267 |                |    02129-02771
                |          b Leo |    1436  306   |          53954 |          81637 |                |    01436-01306
                |         16 Sgr |      6272-89   |          89440 |         186544 |                |    06272-00089
                |          o Tau |    1308-2240   |          25539 |          77184 |                |    01308-02240
                |         DW Eri |    5321-2146   |                |         131442 |                |               
                |          c Her |    2603  829   |          83838 |          65812 |                |               
                |         11 Gem |     1878-387   |          30046 |          78222 |                |    01878-00387
                |         31 Crt |    6097  648   |          58587 |         157042 |                |    06097-01648
                |         24 LMi |    1975  034   |          50316 |          81259 |                |    01975-01034
                |         22 Gem |    1337  295   |          31368 |          95852 |                |    01337-01295
                |         52 Psc |    1193-2069   |           2568 |          74084 |                |    01193-02069
                |         23 Peg |    2216  897   |         109056 |          90217 |                |    02216-01897
                |         73 Her |    2074  985   |          85157 |          85062 |                |    02074-01985
                |         18 Aqr |    5781  173   |         105668 |         164364 |                |    05781-01173
                |          U Vel |     8167-788   |                |         221280 |                |    08167-00788
                |    tet01 Ori D |     4774-930   |          26224 |                |                |               
                |      psi08 Aur |    2942  708   |          33133 |          59589 |                |    02942-01708
          Ancha |        tet Aqr |    5803  996   |         110003 |         145991 |                |    05803-01996
                |      eps Mon B |     141-2451   |          30422 |         113811 |                |    00141-02451
                |        tau Dra |    4456-2107   |          94648 |           9366 |                |    04456-02107
                |        zet Boo |                |          71795 |         101145 |                |    00917-01471
                |         29 Ari |    1216  511   |          11843 |          92998 |                |    01216-01511
                |         29 Ser |    1495  511   |          77249 |         101729 |                |    01495-01511
                |        ksi Leo |     824  978   |          46771 |          98627 |                |    00824-01978
                |      alf UMa B |    4146  274-2 |                |                |                |               
                |         47 Cet |    5276-2115   |           6748 |         147812 |                |    05276-02115
                |          6 Mon |    5367  382   |          29885 |         151318 |                |    05367-01382
                |         26 Boo |    1482  131   |          71115 |          83395 |                |    01482-01131
                |      sig01 Tau |    1266  419   |          21673 |          94051 |                |    01266-01419
       Kitalpha |        alf Equ |     536-2354   |         104987 |         126662 |                |    00536-02354
                |         35 Gem |     759-2861   |          32814 |          96179 |                |    00759-02861
                |         42 UMa |     3829-470   |          53064 |          27793 |                |    03829-00470
                |         21 Cas |    4307-2167   |           3572 |           4216 |                |    04307-02167
                |          a Car |    8595-3311   |          45080 |         236693 |                |    08595-03311
