# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
                |         55 Peg |    1160  745   |         114144 |         127976 |                |    01160-01745
                |         95 Cet |                |          15383 |         130408 |                |               
                |      tet CrB A |    2564  629   |                |                |                |               
                |        rho For |    7028  394   |          17738 |         194535 |                |               
                |        iot Oph |     979-2199   |          82673 |         102458 |                |               
                |        iot Ret |    8868-2221   |          18772 |         248927 |                |    08868-02221
                |         23 Sex |     246  238   |          50684 |         118248 |                |    00246-01238
            Ran |        eps Eri |    5296  533   |          16537 |         130564 |                |               
                |         57 Cyg |    3179  354   |         103089 |          50180 |                |    03179-01354
                |        228 Eri |    5320  896   |          20922 |         149674 |                |    05320-01896
                |        gam Lib |    5608  381   |          76333 |         159370 |                |    05608-01381
         Marfik |        lam Oph |                |          80883 |         121658 |                |    00386-02062
                |         18 Sge |    1643-2603   |          99913 |          88433 |                |    01643-02603
                |         29 Aqr |                |         108797 |         164830 |                |               
                |         22 Pup |     5435-622   |          41067 |         154177 |                |    05435-00622
                |        mu. Mus |    8985-3046   |          57581 |         251597 |                |    08985-03046
                |        chi Boo |    2030  317   |          74596 |          83729 |                |    02030-01317
                |         20 Cam |      3757-38   |          26426 |          25277 |                |    03757-00038
                |        eps Phe |    8022  240   |            765 |         214983 |                |    08022-01240
                |         39 Peg |     1704-805   |         111278 |         107986 |                |    01704-00805
                |        sig Cet |    5860-2587   |          11783 |         148445 |                |    05860-02587
                |         50 Vir |    5540  438   |          64224 |         157760 |                |    05540-01438
                |          9 Sgr |    6842  702   |          88469 |         186204 |                |    06842-01702
                |      eta02 Hyi |     9143-238   |           8928 |         248460 |                |    09143-00238
                |         18 And |     3646-911   |         116709 |          35642 |                |               
                |        eps Tel |    8357-3862   |          89112 |         228777 |                |    08357-03862
                |        del TrA |    9040-4790   |          79664 |         253474 |                |    09040-04790
                |          3 Mon |                |          28574 |         151037 |                |               
                |          5 PsA |    7474  176   |         106067 |         213034 |                |               
                |         17 Sex |    5477  151   |          49812 |         137385 |                |    05477-01151
                |          c Tau |     690  547   |          21589 |          94044 |                |    00690-01547
                |         18 Cet |     5271-677   |           3559 |         147432 |                |               
                |        lam Peg |    2221  666   |         112440 |          90775 |                |    02221-01666
                |          3 Hya |    5429-2253   |          42146 |         136076 |                |               
                |         72 UMa |     3837-396   |          60712 |          28388 |                |    03837-00396
                |        ups Gru |    8006  465   |         114132 |         214313 |                |    08006-01465
                |          q Vir |    5527  966   |          61318 |         138845 |                |               
                |      chi01 Ori |    1320-2118   |          27913 |          77705 |                |    01320-02118
                |         26 Vul |       2161-7   |         101641 |          88884 |                |    02161-00007
                |        eta Cap |    6354  492   |         104019 |         189986 |                |    06354-01492
                |         20 Mon |    4823-4552   |          34622 |         134282 |                |               
                |         36 Her |     391-2825   |          81634 |         121774 |                |    00391-02825
                |         22 Vul |    2155-2337   |          99853 |          88416 |                |    02155-02337
                |         73 Dra |     4459-947   |         101260 |           9802 |                |    04459-00947
                |      del03 Tau |                |          20648 |          93923 |     540-009256 |    01269-01246
                |         18 Peg |     564  847   |         108612 |         127219 |                |    00564-01847
                |        iot Ara |    8345-4829   |          85079 |         227886 |                |    08345-04829
                |         67 Peg |     2769-507   |         115591 |          73241 |                |    02769-00507
                |        tet Dor |    8890  116   |          24372 |         249225 |                |    08890-01116
         Hatysa |        iot Ori |    4778  401   |          26241 |         132323 |                |    04778-01401
           Chow |        bet Ser |    1495  994   |          77233 |         101725 |                |    01495-01994
                |        rho Dra |    4446  736   |          98702 |          18676 |                |    04446-01736
                |         67 UMa |    3019-2030   |          58684 |          44002 |                |    03019-02030
                |         42 Lyn |    2995  482   |          47300 |          42958 |                |    02995-01482
                |        rho Tuc |    8847  489   |           3330 |         248237 |                |    08847-01489
                |         10 Cas |    4022  776   |            531 |          10978 |                |    04022-01776
                |         65 Sgr |    5747  905   |          98953 |         163253 |                |    05747-01905
                |        nu. Ser |    5653  431   |          84880 |         160479 |                |    05653-01431
                |      bet Lyr C |                |                |                |     617-064570 |               
                |         46 Vir |    4960  335   |          63494 |         139096 |                |    04960-01335
                |        chi Aql |    1065-3144   |          96957 |         105168 |                |    01065-03144
                |       54 Leo B |                |                |          81584 |                |               
                |      ome02 Cnc |     1930-674   |          39263 |          79869 |                |    01930-00674
                |      omi Cap B |    6333-2131   |         101120 |         163625 |                |               
                |         56 Hya |    6751  895   |          72357 |         182882 |                |    06751-01895
                |      ups02 Cen |    8263-3419   |          68523 |         224621 |                |    08263-03419
                |          9 Hya |    6012  921   |          42662 |         154552 |                |    06012-01921
                |       41 Aqr B |    6384  570   |                |                |     345-202587 |               
                |          d UMa |    4376-2052   |          46977 |           6897 |                |    04376-02052
                |      gam03 Oct |     9358-208   |            814 |         258215 |                |    09358-00208
                |         40 Boo |    3044  352   |          73369 |          64449 |                |    03044-01352
                |         15 Lac |    3227-3865   |         112917 |          52436 |                |    03227-03865
                |          h Her |     968  712   |          81008 |         102234 |                |               
                |      zet Ori B |    4771  188-2 |                |                |                |               
          Subra |        omi Leo |     821-2130   |          47508 |          98709 |                |    00821-02130
                |        chi Sco |    5621  388   |          79540 |         159793 |                |    05621-01388
                |        ups Lib |    6776  590   |          76470 |         183619 |                |    06776-01590
                |        rho Ind |    9340  818   |         113137 |         258084 |                |    09340-01818
      BELLATRIX |        gam Ori |     113  856   |          25336 |         112740 |                |               
                |         42 Cnc |    1395-2605   |          42578 |          98030 |                |    01395-02605
                |         25 Ser |    5018  142   |          77227 |         140740 |                |    05018-01142
                |         56 Ori |     116  329   |          27750 |         113220 |                |    00116-01329
                |        chi Oph |    6207  170   |          80569 |         159918 |                |               
                |          5 Lac |    3611-2304   |         111022 |          52055 |                |    03611-02304
                |      ups01 Pup |    7115-3016   |          35363 |         197824 |                |    07115-03016
                |        1 Cam A |    3732  028   |                |                |     720-034655 |               
         ETAMIN |        gam Dra |    3523  684   |          87833 |          30653 |                |               
                |         33 Tau |     1813-817   |          18485 |          76343 |                |    01813-00817
                |         76 Tau |     681  152   |          20873 |          93948 |     524-008327 |    00681-01152
                |      bet01 Mon |    4797  880   |                |         133316 |                |               
                |         68 Aqr |    6390  254   |         112529 |         165293 |                |               
                |        bet Com |    1996-2400   |          64394 |          82706 |                |               
                |      psi07 Aur |    2950  863   |          32844 |          41380 |                |    02950-01863
                |          V Cen |    8687  581   |          71116 |         241777 |                |    08687-01581
                |        rho Cyg |    3591-3421   |         106481 |          51035 |                |    03591-03421
                |        del Ret |    8868  318   |          18597 |         248918 |                |    08868-01318
                |        mu. Cet |      643-937   |          12828 |         110723 |                |               
        Chertan |        tet Leo |    1437-2847   |          54879 |          99512 |                |    01437-02847
                |          1 Hya |    4857-2150   |          41211 |         135877 |                |               
                |        psi Hya |    6699  369   |          64166 |         181410 |                |    06699-01369
                |          e Pup |    7117-2766   |          37223 |         198237 |                |    07117-02766
                |         21 Sgr |    6274  663   |          90289 |         186794 |                |    06274-01663
                |         83 Leo |     267  191   |          55846 |         118864 |                |               
                |        kap Leo |    1955  904   |          46146 |          80807 |                |    01955-01904
                |         60 Cet |      37  318   |           9589 |         129655 |                |    00037-01318
                |         19 Lep |    5940-2448   |          29048 |         151142 |                |    05940-02448
                |        eta Her |    3070  595   |          81833 |          65504 |                |    03070-01595
                |          h Cen |                |          67786 |         204944 |                |               
                |         23 And |    2786-2020   |           1086 |          36173 |                |               
                |         10 Pup |     5423  74   |          38427 |         153520 |                |    05423-00174
                |      nu.01 Boo |    3055-2341   |          75973 |          45580 |                |    03055-02341
                |        phi Dra |    4437  492   |          89908 |           9084 |                |               
                |          g Gem |    1366-2455   |          37908 |          97221 |                |    01366-02455
                |         19 Cap |    6348  259   |         103226 |         163975 |                |    06348-01259
                |        alf Tel |    8359-3650   |          90422 |         229023 |                |    08359-03650
                |         55 Cas |     4045-788   |          10438 |          12180 |                |    04045-00788
                |        iot Oct |    9512-2121   |          63031 |         258654 |                |    09512-02121
                |         34 Hya |     5465-310   |          47249 |         137011 |                |    05465-00310
                |          e Cen |    8253  778   |          62867 |         223731 |                |    08253-01778
                |         15 Ori |    1282-2291   |          24010 |          94359 |                |    01282-02291
                |        iot Lyr |    2652  709   |          93903 |          67834 |                |    02652-01709
                |        del Ser |                |          76276 |                |                |               
                |         20 Cep |    4267-2756   |         109005 |          19847 |                |    04267-02756
                |        kap UMa |    3424  626   |          44471 |          42661 |                |               
                |          4 Peg |     555  662   |         106856 |         126956 |                |    00555-01662
                |        iot Her |    3510  876   |          86414 |          46872 |                |    03510-01876
                |      ksi Cep A |    4271-2620   |                |          19827 |     774-050548 |               
                |          Q Sco |    7884-2876   |          86170 |         209019 |                |    07884-02876
                |        mu. Ori |                |          28614 |         113389 |                |               
                |          k Ori |     739-2617   |          29800 |          95476 |                |    00739-02617
                |         50 Cap |    5796  289   |         107527 |         164640 |                |    05796-01289
                |         29 Dra |     4427-661   |          85852 |           8842 |                |    04427-00661
                |          3 UMi |    4409-2050   |          68956 |           7953 |                |    04409-02050
                |         35 Peg |     563  818   |         110882 |         127540 |                |               
                |        ksi Ser |    6248  369   |          86263 |         160700 |                |    06248-01369
           IZAR |        eps Boo |                |          72105 |                |                |               
                |        phi Sgr |    6867-2428   |          92041 |         187239 |                |    06867-02428
                |        ups Gem |    1919-2109   |          36962 |          79533 |                |    01919-02109
                |          4 Cyg |    2666-2297   |          95556 |          68301 |                |               
                |        omi Boo |     1477  89   |          72125 |         101184 |                |    01477-00189
                |        pi. Phe |     8833-221   |         118234 |         248087 |                |    08833-00221
                |         49 Cam |    4117  823   |          37934 |          14322 |                |    04117-01823
                |         42 Aql |    5153-2875   |          96556 |         143621 |                |               
                |          h Car |    8597-2340   |          46974 |         237117 |                |    08597-02340
                |         60 Aur |    2942-2006   |          33064 |          59576 |                |    02942-02006
                |         41 Com |    1996-2401   |          64022 |          82659 |                |    01996-02401
                |        eps Lep |    5913  374   |          23685 |         170051 |                |    05913-01374
                |         21 Pup |    5997-2202   |          40604 |         154076 |                |    05997-02202
        PROXIMA |       V645 Cen |                |          70890 |                |                |               
                |      eta01 Dor |    8905  950   |          28909 |         249448 |                |    08905-01950
                |          T Her |    2622  634   |          88923 |          66680 |                |    02622-01634
                |          e Her |    2604  775   |          84606 |          65921 |                |    02604-01775
                |         38 Aur |    2933-2394   |          28677 |          40818 |                |    02933-02394
                |         29 Eri |     4724-983   |          18122 |         130785 |                |    04724-00983
                |          6 Per |    3293-2271   |          10366 |          23047 |                |               
                |         26 Gem |    1334-2419   |          32104 |          96015 |                |               
                |        eps Tri |    2312-2432   |           9570 |          55218 |                |    02312-02432
                |        del Phe |    8043  179   |           7083 |         215536 |                |               
                |          n Her |     390-2239   |          81007 |         121676 |                |    00390-02239
                |        kap Ari |    1758-2417   |           9836 |          75146 |                |    01758-02417
                |         14 Sgr |    6276-3094   |          89369 |         186509 |                |    06276-03094
                |         22 Lyn |    3401  647   |          36439 |          41808 |                |    03401-01647
                |         43 Psc |     602  387   |           1948 |          91881 |                |    00602-01387
         Musica |         18 Del |    1107-2709   |         103527 |         106712 |                |    01107-02709
                |          2 Sex |     238-2476   |          47310 |         117821 |                |    00238-02476
                |      pi.02 Oct |    9509-2484   |          73771 |         258714 |                |    09509-02484
                |         66 Dra |    4236-2503   |          98962 |          18700 |                |    04236-02503
                |        iot Ari |    1210  641   |           9110 |          92721 |                |    01210-01641
                |         30 Com |    1992-2215   |          62576 |          82515 |                |    01992-02215
                |       13 Vul B |    2140-3051-2 |                |                |                |               
                |         20 Cap |    6353  468   |         103616 |         164043 |                |    06353-01468
                |        lam CrA |    7915  673   |          91875 |         210501 |                |    07915-01673
                |          2 Psc |     569  948   |         113521 |         127881 |                |    00569-01948
                |      rho Oph A |                |                |         184382 |                |               
                |        mu. Ind |    8796  244   |         104085 |         246854 |                |    08796-01244
       Lodestar |        alf UMi |     4628-237   |          11767 |            308 |                |    04628-00237
                |        gam Col |    7066-2024   |          28199 |         196352 |                |    07066-02024
                |        lam Eri |    5330  723   |          23972 |         131824 |                |    05330-01723
                |         10 Cet |    4665  216   |           2100 |         128760 |                |    04665-01216
                |         82 Peg |    1174  713   |         117730 |         108879 |                |    01174-01713
                |         15 Boo |     905  418   |          69612 |         100934 |                |    00905-01418
                |         26 Com |    1448-3273   |          61724 |          82421 |                |    01448-03273
                |          f Per |    2882-2046   |          19811 |          39409 |                |    02882-02046
                |         26 Dra |                |          86036 |          17546 |                |    04199-01513
                |      gam Vir B |    4949  120-2 |                |                |                |               
          Alcor |          g UMa |    3850  384   |          65477 |          28751 |                |    03850-01384
                |      lam Oph B |     386-2062-2 |                |                |                |               
                |         21 Com |    1989-3213   |          61071 |          82346 |                |    01989-03213
                |         33 Her |      394-533   |          81354 |         121728 |                |    00394-00533
 Lambda Ori X-5 |      phi01 Ori |     705-2401   |          26176 |         112914 |                |    00705-02401
                |        alf Sct |    5691  338   |          91117 |         142408 |                |               
                |      tet01 Tau |    1265  170   |          20885 |          93955 |     530-008817 |    01265-01170
                |          b Cap |    6373  203   |         106039 |         190374 |                |    06373-01203
                |          f Her |    3093  947   |          87563 |          47037 |                |    03093-01947
                |         63 Tau |    1264  008   |          20484 |          93900 |     534-008574 |    01264-01008
                |          R Cen |     8690  66   |          69754 |         241580 |                |    08690-00166
                |         17 Cap |    6343  495   |         102487 |         189667 |                |    06343-01495
                |        alf Mus |    9228-3049   |          61585 |         251974 |                |    09228-03049
                |        eps Scl |                |           8209 |         167275 |                |               
   GIENAH CORVI |        gam Crv |    6098  754   |          59803 |         157176 |                |               
                |    sig01 Cnc A |    2485-2094   |                |                |                |               
                |       24 Cnc A |    1941  568   |                |                |                |               
                |         15 Sgr |    6276  023   |          89439 |         186543 |                |    06276-01023
                |        kap Ara |    8353-3055   |          85312 |         244734 |                |    08353-03055
                |          5 Lib |    6154  082   |          72194 |         158788 |                |    06154-01082
                |         14 Peg |    2718-2224   |         107763 |          90040 |                |    02718-02224
                |         15 Ari |    1217  560   |          10155 |          92822 |                |    01217-01560
                |        nu. Ind |    9340-2962   |         110618 |         258033 |                |    09340-02962
                |          i Dra |    4174  261   |          67627 |          16199 |                |    04174-01261
                |         EZ Cet |    5278-2439   |           8486 |         148033 |                |    05278-02439
                |         13 Psc |      5251-78   |         116146 |         146756 |                |    05251-00078
                |      nu.02 CMa |    5956-2621   |          31592 |         151702 |                |               
                |         19 Oph |      388-497   |          82162 |         121859 |                |    00388-00497
                |        mu. PsA |    7492  466   |         109285 |         213576 |                |    07492-01466
                |         21 Psc |     586  293   |         117491 |         128401 |                |               
                |          h UMa |    4139  304   |          46733 |          14908 |                |    04139-01304
                |          7 Ser |       935-33   |          75230 |         101508 |                |    00935-00033
                |        bet Gru |    8446  644   |         112122 |         231258 |                |    08446-01644
                |      tet Mus B |    8997-2338   |                |                |     124-083587 |    08997-02338
                |         56 Oph |     1004-260   |          86041 |         102935 |                |    01004-00260
                |         66 And |     3303-345   |          11465 |          23353 |                |    03303-00345
                |        tet UMa |    3432  451   |          46853 |          27289 |                |               
                |        mu. Lep |    5902  721   |          24305 |         150237 |                |    05902-01721
                |      eta02 For |     7018-364   |          13225 |         193940 |                |    07018-00364
                |        rho And |    2783-2251   |           1686 |          53828 |                |               
        PLEIONE |         28 Tau |    1800-2200   |          17851 |          76229 |                |    01800-02200
                |      iot Cas B |    4058  504-2 |                |                |                |               
                |         53 Psc |    1187  876   |           2903 |          91995 |                |    01187-01876
                |         57 Her |     2063-924   |          82987 |          84720 |                |    02063-00924
                |         38 Cap |    6369  186   |         106568 |         190463 |                |    06369-01186
                |        alf Vol |    8939-2729   |          44382 |         250422 |                |    08939-02729
                |          U Car |     8627-435   |          53589 |         238635 |                |               
          Rigel |        bet Ori |    5331  752   |          24436 |         131907 |                |    05331-01752
                |         29 Cet |      19  406   |           5315 |         109694 |                |    00019-01406
                |          2 Hya |    4857-2152   |          41375 |         135916 |                |    04857-02152
                |        bet Ind |    8804  375   |         103227 |         246784 |                |    08804-01375
                |        phi Cen |    7798-2848   |          68245 |         224577 |                |    07798-02848
                |        tau Cnc |    1957  674   |          44818 |          80650 |                |    01957-01674
                |      iot01 Cyg |    3555-2111   |          95656 |          31673 |                |               
                |          d Gem |    1343-2919   |          32921 |          78805 |                |    01343-02919
                |         45 Peg |    1705  602   |         112358 |         108154 |                |    01705-01602
                |         39 Cnc |      1398-27   |          42516 |          80333 |                |    01398-00027
                |         17 Per |    2334  042   |          13328 |          55946 |                |    02334-01042
                |         69 Vir |     6120-921   |          65639 |         157946 |                |    06120-00921
                |        omi Cas |    3253  988   |           3504 |          36620 |                |    03253-01988
                |         23 Cyg |    3943-2323   |          97870 |          32085 |                |    03943-02323
                |        tet PsA |    7487  984   |         107608 |         213292 |                |    07487-01984
                |    phi02 Cnc A |    1944-2323   |                |                |                |               
                |        iot Peg |    2208-2471   |         109176 |          90238 |                |               
                |      omi02 Cen |    8629  713   |          56250 |         239146 |                |    08629-01713
                |         23 Gem |     1329-646   |          31525 |          95889 |                |    01329-00646
                |         21 Cet |     5270  99   |           4257 |         129019 |                |    05270-00199
                |         67 Oph |     434-5198   |          88192 |         123013 |                |    00434-05198
                |          1 Per |    3688-2149   |           8704 |          22690 |                |    03688-02149
         MIRFAK |        alf Per |    3320-2808   |          15863 |          38787 |                |    03320-02808
                |      psi02 Ori |     105-2801   |          25473 |         112775 |                |    00105-02801
                |          2 Sco |                |          77840 |         183896 |                |               
                |        iot Sgr |    7942-3241   |          98032 |         229927 |                |    07942-03241
                |         15 Tri |    2332-2197   |          12086 |          55687 |                |    02332-02197
                |        kap Lep |    5338  447   |          24327 |         150239 |                |    05338-01447
                |         14 Ari |    1761-2536   |          10053 |          75171 |                |    01761-02536
                |          n Vel |    8155-3647   |          42624 |         220284 |                |    08155-03647
                |          b Pup |    7646-3591   |          38455 |         198545 |                |    07646-03591
                |         75 Psc |     618  486   |           5204 |          92250 |                |    00618-01486
                |         71 Dra |    4237-2169   |         100221 |          18807 |                |    04237-02169
                |         76 UMa |     4165-534   |          61936 |          15871 |                |    04165-00534
                |          e Ori |    5332  832   |          25247 |         132067 |                |    05332-01832
                |         22 Psc |      590-329   |         117683 |         128427 |                |    00590-00329
                |          9 UMi |     4414-517   |          73440 |           8140 |                |               
                |          N Vel |    8592-2561   |          46701 |         237067 |                |    08592-02561
          Ahadi |        pi. Pup |                |          35264 |         197795 |                |    07115-03019
                |        alf Ara |    8350-2600   |          85792 |         228069 |                |    08350-02600
                |        tet Phe |                |         116737 |                |                |               
                |          N Sco |    7353-3152   |          80911 |         207732 |                |    07353-03152
                |         83 Tau |     681  153   |          21036 |          93979 |     519-007956 |    00681-01153
                |          h Aqr |    5820  291   |         113996 |         146498 |                |               
                |        137 Tau |     728-3138   |          27743 |          94945 |                |    00728-03138
                |        ups CrB |    2054  147   |          79757 |          84281 |                |    02054-01147
                |      psi01 Aur |    3384  194   |          30520 |          41076 |                |    03384-01194
    del Ori Aa1 |      del Ori A |    4766-2445   |                |                |                |               
                |          c Car |    8927-3658   |          43783 |         250374 |                |    08927-03658
                |         41 Ara |                |          84720 |         227816 |                |               
                |          3 And |    3631-2230   |         113919 |          52649 |                |               
                |          p Cen |    7256  650   |          62683 |         203863 |                |    07256-01650
                |         73 Oph |                |          88964 |         123187 |                |    00439-01445
                |         39 Aqr |     5809-416   |         109624 |         164923 |                |    05809-00416
   Deneb Algedi |        del Cap |                |         107556 |         164644 |                |               
Asellus Austral |        del Cnc |    1396-2758   |          42911 |          98087 |                |               
                |        110 Vir |     338  145   |          73620 |         120809 |                |    00338-01145
                |         64 Gem |    1918-2337   |          36393 |          79427 |                |    01918-02337
                |        ksi Ari |      635-692   |          11249 |          92932 |                |    00635-00692
                |        eta Pyx |    6578-2618   |          42334 |         176189 |                |    06578-02618
                |        eps Del |    1096  684   |         101421 |         106230 |                |    01096-01684
                |        pi. Aqr |     560  818   |         110672 |         127520 |                |    00560-01818
                |          k Vel |    7164-4049   |          45448 |         200163 |                |    07164-04049
                |         10 Tri |    1777  481   |          10793 |          75276 |                |    01777-01481
                |        sig Leo |     270  148   |          55434 |         118804 |                |    00270-01148
                |          9 Vul |    1609-2082   |          96275 |         104990 |                |    01609-02082
                |        sig Pav |     9321-989   |         102773 |         254871 |                |    09321-00989
                |         26 LMi |    2516  008   |          50857 |          62009 |                |    02516-01008
                |         20 Oph |     5633-777   |          82369 |         160118 |                |    05633-00777
                |        psi Sco |    5616  294   |          79375 |         141022 |                |    05616-01294
                |        rho Oph |                |          80473 |                |                |               
                |          9 Aur |                |          23783 |          25019 |                |    03357-02332
                |         86 UMa |    3851  508   |          67848 |          28928 |                |    03851-01508
                |         10 Tau |      64  569   |          16852 |         111292 |                |               
                |      del01 Tel |    8359-3649   |          90830 |         229092 |                |    08359-03649
                |      psi06 Aur |    3398-2490   |          32562 |          41346 |                |    03398-02490
                |      tau07 Eri |    6448  371   |          17717 |         168836 |                |    06448-01371
                |        sig Boo |    2021  323   |          71284 |          83416 |                |               
                |      eps Pyx B |    7152-2748   |                |         200049 |     299-054493 |               
                |      phi Vir A |    4977  458   |                |                |     439-057448 |               
                |          4 Sgr |    6841  403   |          88116 |         186061 |                |    06841-01403
                |      gam Vir A |    4949  120   |                |         138917 |                |               
                |         85 Leo |    1438-2841   |          56080 |          99629 |                |    01438-02841
                |         21 UMa |                |          46239 |          27249 |                |    03806-01555
                |       73 Oph A |     439  445   |                |                |                |               
                |          7 Leo |     827  691   |          47096 |          98662 |                |    00827-01691
                |         62 Vir |     5547  78   |          65074 |         157869 |                |    05547-00178
                |        rho Gem |    2452-2167   |          36366 |          60118 |                |    02452-02167
                |         77 Aqr |    6387  383   |         113148 |         165376 |                |               
                |      alf Mus B |                |                |                |                |    09228-02412
                |          D Hya |    5454  870   |          43067 |         154622 |                |    05454-01870
                |         33 Cet |      20  166   |           5510 |         109715 |                |    00020-01166
                |        pi. Leo |     829  744   |          49029 |         118044 |                |    00829-01744
                |          V Vel |    8588  663   |          45949 |         236893 |                |    08588-01663
                |          8 Lep |    5344  536   |          25202 |         150396 |                |    05344-01536
                |          3 Com |    1442  900   |          59352 |          99973 |                |    01442-01900
 Alula Borealis |        nu. UMa |    2520-2631   |          55219 |          62486 |                |    02520-02631
                |          c Oph |     6826-368   |          85755 |         185470 |                |    06826-00368
                |        omi Ari |    1223  646   |          12803 |          93082 |                |    01223-01646
                |        ups Oct |     9529-952   |         111196 |         258932 |                |    09529-00952
                |         58 Per |    2888-2054   |          21476 |          39639 |                |    02888-02054
                |         45 Aur |    3764-2617   |          30247 |          25681 |                |    03764-02617
                |          b UMa |    4128  827   |          43644 |          14691 |                |    04128-01827
                |         11 Aqr |    5200  718   |         103682 |         145022 |                |    05200-01718
                |         63 Gem |    1359-2673   |          36238 |          79403 |                |               
                |      pi. Cep A |    4601-3531   |                |                |                |               
                |        eta Hor |    8484  504   |          12225 |         232835 |                |    08484-01504
                |      mu.01 Oct |    9461  989   |         102162 |         257838 |                |    09461-01989
                |      eta Cas B |    3663-2669-2 |                |                |                |               
                |         31 Ori |    4753  894   |          25737 |         132176 |                |    04753-01894
      Cervantes |        mu. Ara |     8355-436   |          86796 |         244981 |                |               
                |      tau Boo A |     1460  32   |                |                |                |               
                |        8 Lac A |    3205-2482   |         111546 |          72509 |                |               
                |         41 And |    2811-2324   |           5317 |          36950 |                |    02811-02324
                |        ksi Aur |     3754-939   |          27949 |          25450 |                |    03754-00939
                |         15 Gem |    1340-2544   |          30757 |          78395 |                |    01340-02544
                |       17 Crt B |    6663  171   |                |         179967 |                |               
                |         61 Gem |     1355-489   |          36156 |          79391 |                |    01355-00489
                |        eta Sge |    1625  053   |          98920 |         105659 |                |    01625-01053
                |      tau Oph A |     5675-662   |                |                |                |               
                |          Y Cen |     7295-596   |          70969 |         182618 |                |    07295-00596
        Titawin |        ups And |    2822-2210   |           7513 |          37362 |                |               
                |      zet02 Sco |    7876-2871   |          82729 |         227402 |                |               
                |          d Sgr |     6304-334   |          94820 |         162413 |                |    06304-00334
                |         46 Her |                |          82000 |          84577 |                |               
                |      zet01 Lyr |    3118-2080   |          91971 |          67321 |                |    03118-02080
                |      iot02 Nor |     8718  39   |          79153 |         243368 |                |    08718-00139
        ALPHARD |        alf Hya |    5460  592   |          46390 |         136871 |                |    05460-01592
                |      del03 CMi |     182  866   |          36812 |         115644 |                |    00182-01866
                |          k Car |    8944-3282   |          45856 |         250544 |                |    08944-03282
                |         81 Aqr |    5248  455   |         113674 |         146447 |                |    05248-01455
                |        tau Cen |    8236-3158   |          61622 |         223560 |                |    08236-03158
                |        kap TrA |    9260  772   |          77982 |         253342 |                |    09260-01772
                |         14 Tau |     1243-280   |          17408 |          93568 |                |    01243-00280
                |          b Eri |    4745  840   |          22958 |         131614 |                |    04745-01840
                |        tet Lib |    6187  544   |          77853 |         159563 |                |    06187-01544
                |        iot Cep |    4277  102   |         112724 |          20268 |                |    04277-01102
                |      100 Her A |    2095-3224   |          88818 |          85753 |                |               
                |      bet Mon C |    4797  882   |                |                |                |               
                |        sig CrB |                |          79607 |          65165 |                |               
                |        gam Hor |     8862-585   |          12871 |         248642 |                |    08862-00585
                |          W Cen |     8643-763   |          58107 |                |                |    08643-00763
        PEACOCK |        alf Pav |    8785  898   |         100751 |         246574 |                |    08785-01898
                |         29 Psc |     4666-935   |            145 |         147041 |                |    04666-00935
                |         26 Her |     2584-458   |          80648 |          65320 |                |    02584-00458
                |         35 Psc |                |           1196 |         109087 |                |               
                |          g Aqr |    6389  377   |         112211 |         165252 |                |               
                |          4 Cap |    6340  866   |         100062 |         189114 |                |    06340-01866
                |         74 Her |    3508  742   |          84835 |          46645 |                |    03508-01742
                |         37 LMi |    2512  144   |          52098 |          62173 |                |    02512-01144
